bike_name,price,city,kms_driven,owner,age,power,brand
Yamaha FZs 150cc,53499.0,Delhi,25000.0,First Owner,6.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,45000.0,Delhi,23000.0,First Owner,6.0,150.0,Yamaha
Yamaha YZF-R15 S 150cc,63000.0,Delhi,16000.0,First Owner,5.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,68500.0,Delhi,68500.0,Second Owner,7.0,150.0,Yamaha
Yamaha YZF-R15 V3 150cc,140000.0,Delhi,2473.0,First Owner,2.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc Rear Disc,80000.0,Delhi,3500.0,First Owner,3.0,150.0,Yamaha
Yamaha FZs 150cc,62000.0,Delhi,11227.0,First Owner,3.0,150.0,Yamaha
Yamaha YZF-R15 V3 150cc,122500.0,Delhi,10000.0,First Owner,3.0,150.0,Yamaha
Yamaha SZ-RR 150cc,23600.0,Delhi,22672.0,Second Owner,6.0,150.0,Yamaha
Yamaha Saluto 125cc Disc Special Edition,62000.0,Delhi,1123.0,First Owner,2.0,125.0,Yamaha
Yamaha FZ S V 2.0 150cc Rear Disc,66000.0,Delhi,8000.0,First Owner,3.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc Rear Disc,59300.0,Delhi,9107.0,First Owner,3.0,150.0,Yamaha
Yamaha FZs 150cc,77500.0,Delhi,45.0,First Owner,3.0,150.0,Yamaha
Yamaha SZR 150cc,22000.0,Delhi,19000.0,First Owner,9.0,150.0,Yamaha
Yamaha YZF-R3 320cc,308000.0,Delhi,16000.0,First Owner,3.0,320.0,Yamaha
Yamaha YZF-R15 2.0 150cc,58000.0,Delhi,35000.0,Second Owner,6.0,150.0,Yamaha
Yamaha FZ25 250cc,85000.0,Delhi,13000.0,First Owner,4.0,250.0,Yamaha
Yamaha YZF-R15 2.0 150cc,75000.0,Delhi,39000.0,First Owner,5.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,65000.0,Delhi,15000.0,First Owner,3.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,75000.0,Delhi,13000.0,First Owner,6.0,150.0,Yamaha
Yamaha YZF-R15 V3 150cc,110900.0,Delhi,4200.0,First Owner,3.0,150.0,Yamaha
Yamaha YZF-R15 S 150cc,89025.0,Delhi,5800.0,First Owner,6.0,150.0,Yamaha
Yamaha FZ16 150cc,32000.0,Delhi,28000.0,First Owner,9.0,150.0,Yamaha
Yamaha FZs 150cc,35273.0,Delhi,3100.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,35000.0,Delhi,19000.0,Second Owner,6.0,150.0,Yamaha
Yamaha FZs 150cc,62000.0,Delhi,21000.0,First Owner,5.0,150.0,Yamaha
Yamaha FZ16 150cc,24000.0,Delhi,35456.0,First Owner,10.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,108000.0,Delhi,2500.0,First Owner,4.0,150.0,Yamaha
Yamaha FZs 150cc,37000.0,Delhi,12500.0,First Owner,6.0,150.0,Yamaha
Yamaha FZ 150cc,35500.0,Delhi,15000.0,First Owner,9.0,150.0,Yamaha
Yamaha SZ-RR 150cc,23600.0,Delhi,30100.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ16 150cc,30000.0,Delhi,96000.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,65000.0,Delhi,8500.0,First Owner,5.0,150.0,Yamaha
Yamaha FZ25 250cc,86000.0,Delhi,15465.0,First Owner,3.0,250.0,Yamaha
Yamaha FZ S V 2.0 150cc,74000.0,Delhi,19000.0,First Owner,3.0,150.0,Yamaha
Yamaha FZs 150cc,40000.0,Delhi,18000.0,First Owner,8.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,55000.0,Delhi,24000.0,First Owner,4.0,150.0,Yamaha
Yamaha FZs 150cc,57000.0,Delhi,23000.0,First Owner,4.0,150.0,Yamaha
Yamaha FZS FI 150cc,55000.0,Delhi,3600.0,First Owner,5.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,90000.0,Delhi,16000.0,First Owner,4.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc-Ltd. Edition,79000.0,Delhi,8000.0,First Owner,3.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,65000.0,Delhi,25205.0,First Owner,5.0,150.0,Yamaha
Yamaha FZs 150cc,22000.0,Delhi,33000.0,Second Owner,10.0,150.0,Yamaha
Yamaha FZs 150cc,60000.0,Delhi,11217.0,First Owner,9.0,150.0,Yamaha
Yamaha FZ V 2.0 150cc,70000.0,Delhi,8418.0,First Owner,4.0,150.0,Yamaha
Yamaha FZs 150cc,28300.0,Delhi,35000.0,Second Owner,7.0,150.0,Yamaha
Yamaha Fazer 150cc,30000.0,Delhi,13250.0,Second Owner,8.0,150.0,Yamaha
Yamaha FZs 150cc,23300.0,Delhi,12580.0,Second Owner,11.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,56950.0,Delhi,27000.0,First Owner,4.0,150.0,Yamaha
Yamaha FZ S V 2.0 150cc,37000.0,Delhi,25000.0,First Owner,7.0,150.0,Yamaha
Yamaha MT-15 150cc,125000.0,Delhi,1500.0,First Owner,2.0,150.0,Yamaha
Yamaha FZ 150cc,24000.0,Delhi,14000.0,First Owner,11.0,150.0,Yamaha
Yamaha FZ 150cc,23500.0,Delhi,8000.0,First Owner,9.0,150.0,Yamaha
Yamaha Fazer 150cc,43100.0,Delhi,20000.0,First Owner,7.0,150.0,Yamaha
Yamaha FZs 150cc,35000.0,Delhi,22000.0,First Owner,8.0,150.0,Yamaha
Yamaha FZs 150cc,37000.0,Delhi,53500.0,First Owner,8.0,150.0,Yamaha
Yamaha SZR 150cc,15500.0,Delhi,61841.0,First Owner,10.0,150.0,Yamaha
Yamaha YZF-R15 2.0 150cc,75000.0,Delhi,48000.0,First Owner,8.0,150.0,Yamaha
